No.,Word,Việt Note,Phonetics,Note,Example,Type,Level
209,within,"trong vòng, trong khoảng (thời gian; khoảng cách)",/wɪˈðɪn/,before a particular period of time has passed; during a particular period of time,You should receive a reply within seven days.,preposition,B1
210,could,có thể,/kəd/,used as the past tense of ‘can’,When I was younger I could stay up all night and not get tired.,modal verb,A1
211,able,"có khả năng, có năng lực, có tài",/ˈeɪbl/,"having the skill, intelligence, opportunity, etc. needed to do something",You must be able to speak French for this job.,adjective,A2
212,evening,buổi tối (thời gian trong ngày từ giữa buổi chiều và giờ đi ngủ),/ˈiːvnɪŋ/,the part of the day between the afternoon and the time you go to bed,Remember to call me this evening.,noun,A1
213,use,sử dụng,/juːz/,"to do something with a machine, a method, an object, etc. for a particular purpose","Can I use your phone, please?",verb,A1
214,radio,đài phát thanh,/ˈreɪdiəʊ/,a piece of equipment used for listening to programmes that are broadcast to the public,The play was written specially for radio.,noun,A1
215,smile,mỉm cười,/smaɪl/,to make a smile appear on your face,She couldn't help but smile at the sight of the adorable puppy.,verb,A2
216,fine,tiền phạt,/faɪn/,a sum of money that must be paid as punishment for breaking a law or rule,I paid the fine for my overdue library books.,noun,C1
217,find,"thấy, tìm thấy, bắt được",/faɪnd/,to discover somebody/something unexpectedly or by chance,I'm going to the store to find some ingredients for dinner tonight.,verb,A1
218,heart,"trái tim, tim",/hɑːt/,"the organ in the chest that sends blood around the body, usually on the left in humans",The patient's heart stopped beating for a few seconds.,noun,B2
219,true,"thật, thực, đúng, xác thực",/truː/,connected with facts rather than things that have been invented or guessed,Indicate whether the following statements are true or false.,adjective,A1
220,since,"từ, từ khi",/sɪns/,"from a time in the past until a later past time, or until now",She's been off work since Tuesday.,preposition,A2
221,Canadian,"người Ca-na-đa, (thuộc về) nước Ca-na-đa",/kəˈneɪdiən/,from or connected with Canada,Canada is known for its beautiful landscapes and friendly Canadian people.,"noun, adjective",
222,best,"tốt nhất, hay nhất",/best/,of the most excellent type or quality,That's the best movie I've ever seen!,adjective,A1
223,hour,"giờ, tiếng đồng hồ",/ˈaʊə(r)/,60 minutes; one of the 24 parts that a day is divided into,I spent an hour on the phone.,noun,A1
224,make,"làm, chế tạo",/meɪk/,to create or prepare something by combining materials or putting parts together,I'm going to make a sandwich for lunch.,verb,A1
225,orange,quả cam,/ˈɒrɪndʒ/,a round citrus fruit with thick skin of a colour between red and yellow and a lot of sweet juice,Orange is my favourite fruit.,noun,A1
226,online,trực tuyến,/ˌɒnˈlaɪn/,available on or done using the internet or other computer network,Online shopping is both cheap and convenient.,adjective,A1
227,about,về chủ đề ( ai/cái gì); liên quan tới,/əˈbaʊt/,on the subject of somebody/something; in connection with somebody/something,What's that book about?,preposition,A1
228,United,"liên minh, liên kết, hợp nhất, thống nhất (về chính trị)",/juˈnaɪtɪd/,joined together as a political unit or by shared aims,Factions previously at war with one another are now united against the common enemy.,adjective,A2
229,bank,ngân hàng,/bæŋk/,"an organization where people and businesses can invest or borrow money, change it to foreign money, etc., or a building where these services are offered",I need to go to the bank at lunchtime.,noun,A1
230,ongoing,"tiếp tục, tiếp diễn, diễn ra",/ˈɒnɡəʊɪŋ/,continuing to exist or develop,The ongoing pandemic has had a major impact on people's lives.,adjective,B2
231,above,trên (ở một điểm cao hơn),/əˈbʌv/,at or to a higher place or position than something/somebody,The birds were flying above the clouds.,preposition,A1
232,drawing,"sự vẽ, thuật vẽ (vẽ đồ họa, vẽ kỹ thuật)",/ˈdrɔːɪŋ/,"the art or skill of making pictures, plans, etc. using a pen or pencil",I'm not very good at drawing.,noun,A2
233,fire,lửa,/ˈfaɪə(r)/,"the flames, light and heat, and often smoke, that are produced when something burns",Most animals are afraid of fire.,noun,A1
234,myself,"tự tôi, chính tôi",/maɪˈself/,used to emphasize the fact that the speaker is doing something,I'll speak to her myself.,pronoun,B1
235,something,cái gì đó; điều gì đó,/ˈsʌmθɪŋ/,a thing that is not known or mentioned by name,We stopped for something to eat.,pronoun,A1
236,labour,"nhân công, tầng lớp lao động",/ˈleɪbər/,"workers, especially people who do practical work with their hands","The car parts themselves are not expensive, it's the labour that costs the money.",noun,B2
237,long,"dài, xa",/lɒŋ/,"measuring or covering a great length or distance, or a greater length or distance than usual",She had long dark hair.,adjective,A1
238,into,"vào, vào trong",/ˈɪntə/ /ˈɪntu/ /ˈɪntuː/,to a position in or inside something,Let's come into the house.,preposition,A1
239,counsellor,cố vấn,/ˈkaʊnsələr/,"a person who has been trained to advise people with problems, especially personal problems",I went to see a debt counsellor and she agreed to come to the bank with me.,noun,C1
240,free,"không mất tiền, miễn phí",/friː/,costing nothing,Admission is free.,adjective,A2
241,mix,"trộn, trộn lẫn, pha lẫn",/mɪks/,"if two or more substances or things mix or you mix them, they combine, usually in a way that means they cannot easily be separated",Oil and water do not mix.,verb,B2
242,star,"ngôi sao, tinh tú",/stɑː(r)/,a large ball of burning gas in space that we see as a point of light in the sky at night,There was a big moon and hundreds of stars were shining overhead.,noun,A1
243,though,"mặc dù, dù, dẫu cho",/ðəʊ/,despite the fact that,"Anne was fond of Tim, though he often annoyed her.",conjunction,B1
244,many,nhiều,/ˈmeni/,"used with plural nouns and verbs, especially in negative sentences or in more formal English, to mean ‘a large number of’",There are many people at the party tonight.,"determiner, pronoun",A1
245,people,(số nhiều) người,/ˈpiːpl/,"human beings; men, women and children",There were a lot of people at the concert last night.,noun,A1
246,everyday,hàng ngày,/ˈevrideɪ/,used or happening every day or regularly; ordinary,Change is a part of everyday life in business.,adjective,A2
247,stay,"ở lại, ở",/steɪ/,to continue to be in a particular place for a period of time without moving away,Stay there and don't move!,verb,A1
248,face,"mặt, khuôn mặt",/feɪs/,"the front part of the head, where the eyes, nose and mouth are",Please wash your face before you go to bed.,noun,A1
249,fish,cá,/fɪʃ/,the soft part of fish that is eaten as food,"Every time I give him fish for lunch, he makes a face.",noun,A1
250,open,mở,/ˈəʊpən/,allowing things or people to go through; not closed or blocked,Can you please open the door for me?,verb,A1
251,devote,"hiến dâng, dành hết cho",/dɪˈvəʊt/,"to give all of something, especially your time, effort, or love, or yourself, to something you believe in or to a person",The father always devoted his time and energy to making sure his kids had the best life possible.,verb,B2
252,seven,số 7,/ˈsevn/,the number 7,There are seven cookies left.,number,A1
253,ice,"nước đá, băng",/aɪs/,water that has frozen and become solid,There was ice on the windows.,noun,A1
254,five,số 5,/faɪv/,the number 5,There are only five cookies left.,number,A1
255,please,"làm ơn, vui lòng làm gì",/pliːz/,used as a polite way of asking for something or telling somebody to do something,Please sit down.,exclamation,A1
256,finding,"điều khám phá ra, điều phát hiện ra",/ˈfaɪndɪŋ/,information that is discovered as the result of research into something,The study's most significant finding was that exercise improves mental health.,noun,B2
257,look,"ngoại hình, nhan sắc, vẻ đẹp",/lʊk/,the way somebody/something looks; the appearance of somebody/something,The boys inherited their father's good looks.,noun,B1
258,father,"cha, bố",/ˈfɑːðə(r)/,a male parent of a child or an animal; a person who is acting as the father to a child,My father died in 2017.,noun,A1
259,apple,quả táo,/ˈæpl/,a round fruit with shiny red or green skin that is fairly hard and white inside,I like to eat a juicy apple for a healthy snack.,noun,A1
260,themselves,"tự chúng, tự họ",/ðəmˈselvz/,used to emphasize they or a plural subject,They liberate themselves.,pronoun,A2
261,every,"mỗi, mọi",/ˈevri/,used with singular nouns to refer to all the members of a group of things or people,She knows every student in the school.,determiner,A1
262,again,"lại, lần nữa, nữa",/əˈɡen/ /əˈɡeɪn/,one more time; on another occasion,This must never happen again.,adverb,A1
263,money,"tiền, tiền bạc",/ˈmʌni/,"what you earn by working or selling things, and use to buy things",I need to save more money so that I can buy a new laptop.,noun,A1
264,base,"đáy, chân, đế",/beɪs/,"the lowest part of something, especially the part or surface on which it rests or stands",The lamp has a heavy base.,noun,B2
265,mom,mẹ,/mɒm/,a mother,Where's my mom?,noun,
266,whole,"trọn vẹn, toàn bộ, tất cả",/həʊl/,full; complete,Let's forget the whole thing.,adjective,A2
267,Asian,(thuộc) Châu Á,/ˈeɪʒn/,belonging to or relating to Asia or its people,"I love to eat Asian cuisine, especially sushi and stir-fried noodles.",adjective,
268,consist,bao gồm,/kənˈsɪst/,to be composed or made up of particular components or elements,"A healthy diet should consist of a variety of fruits, vegetables, whole grains, and lean proteins.",verb,B1
269,work,làm việc,/wɜːk/,"to do something that involves physical or mental effort, especially as part of a job",I can't work if I'm cold.,verb,A1
270,itself,"bản thân cái đó, bản thân điều đó, bản thân con vật đó",/ɪtˈself/,used when the animal or thing that does an action is also affected by it,The cat was washing itself.,pronoun,A2
271,among,"ở giữa, giữa (nhiều người, nhiều vật), trong số",/əˈmʌŋ/,surrounded by somebody/something; in the middle of somebody/something,The book was among the top ten bestsellers of the year.,preposition,A2
